field_pid,node_id
ir:11780,553
ir:9743,554
ir:346,555
ir:ir-batch6-1066,556
ir:23653,557
ir:ir-batch6-4723,558
ir:263,559
ir:22649,560
ir:22359,561
ir:20525,562
ir:25564,563
ir:ir-batch6-5095,564
ir:23157,565
ir:ir-batch6-1762,566
ir:ir-batch6-1899,567
ir:1452,568
ir:1338,569
ir:21179,570
ir:21613,571
ir:ir-batch6-1381,572
ir:11099,573
ir:24425,574
ir:25975,575
ir:25122,576
ir:918,577
ir:ir-batch7-100,578
ir:12381,579
ir:21117,580
ir:ir-batch6-3048,581
ir:ir-batch6-2589,582
ir:5290,583
ir:24652,584
ir:3378,585
ir:ir-batch6-5135,586
ir:ir-batch6-6220,587
ir:23805,588
ir:ir-batch6-1473,589
ir:23735,590
ir:ir-batch6-1100,591
ir:22536,592
ir:ir-batch6-6243,593
ir:ir-batch6-1314,594
ir:3132,595
ir:ir-batch6-4393,596
ir:ir-batch6-1957,597
ir:ir-batch6-458,598
ir:ir-batch6-1667,599
ir:ir-batch6-2062,600
ir:25402,601
ir:23373,602
ir:23663,603
ir:23998,604
ir:21561,605
ir:ir-batch6-5857,606
ir:ir-batch6-3186,607
ir:22364,608
ir:21071,609
ir:ir-batch6-5704,610
ir:4344,611
ir:ir-batch6-2424,612
ir:23414,613
ir:13597,614
ir:ir-batch6-448,615
ir:101,616
ir:25378,617
ir:14792,618
ir:20185,619
ir:1285,620
ir:22861,621
ir:22058,622
ir:20977,623
ir:1034,624
ir:ir-batch6-1947,625
ir:3122,626
ir:12677,627
ir:ir-batch6-2846,628
ir:21960,629
ir:10578,630
ir:25606,631
ir:1800,632
ir:ir-batch6-2266,633
ir:956,634
ir:ir-batch6-5435,635
ir:24115,636
ir:16128,637
ir:1581,638
ir:ir-batch6-837,639
ir:2704,640
ir:ir-batch6-3344,641
ir:21061,642
ir:6035,643
ir:25733,644
ir:23920,645
ir:24781,646
ir:1315,647
ir:24465,648
ir:ir-batch6-384,649
ir:25935,650
ir:9770,651
ir:ir-batch6-1113,652
ir:ir-batch6-1403,653
ir:1582,654
ir:25315,655
ir:20392,656
ir:21900,657
ir:10211,658
ir:ir-batch6-2265,659
ir:21191,660
ir:ir-batch6-5458,661
ir:20186,662
ir:ir-batch6-3831,663
ir:ir-batch7-123,664
ir:25162,665
ir:14098,666
ir:ir-batch6-652,667
ir:ir-batch6-2883,668
ir:ir-batch6-190,669
ir:ir-batch6-1045,670
ir:4188,671
ir:25529,672
ir:21705,673
ir:13584,674
ir:ir-batch6-3324,675
ir:286,676
ir:9683,677
ir:4495,678
ir:ir-batch6-3904,679
ir:21062,680
ir:9648,681
ir:ir-batch6-857,682
ir:23522,683
ir:ir-batch6-4142,684
ir:368,685
ir:24168,686
ir:16155,687
ir:ir-batch6-3772,688
ir:22046,689
ir:ir-batch6-5155,690
ir:926,691
ir:ir-batch6-3015,692
ir:10262,693
ir:ir-batch6-2386,694
ir:ir-batch6-5854,695
ir:21562,696
ir:ir-batch6-824,697
ir:296,698
ir:21501,699
ir:24096,700
ir:25047,701
ir:11192,702
ir:ir-batch6-3430,703
ir:ir-batch6-2159,704
ir:ir-batch11-108,705
ir:15668,706
ir:ir-batch6-4509,707
ir:ir-batch6-3681,708
ir:ir-batch6-4843,709
ir:ir-batch6-5513,710
ir:9161,711
ir:1358,712
ir:ir-batch6-5586,713
ir:ir-batch6-1578,714
ir:ir-batch6-2164,715
ir:1451,716
ir:ir-batch6-5737,717
ir:21042,718
ir:ir-batch6-2474,719
ir:11950,720
ir:22629,721
ir:ir-batch6-3463,722
ir:ir-batch6-819,723
ir:569,724
ir:24892,725
ir:14128,726
ir:24279,727
ir:21876,728
ir:ir-batch6-5792,729
ir:1074,730
ir:6337,731
ir:ir-batch6-1654,732
ir:21177,733
ir:ir-batch6-2868,734
ir:ir-batch12-183,735
ir:5293,736
ir:451,737
ir:ir-batch6-921,738
ir:20669,739
ir:23216,740
ir:4546,741
ir:20413,742
ir:ir-batch6-2245,743
ir:24136,744
ir:23459,745
ir:21584,746
ir:ir-batch6-809,747
ir:3539,748
ir:7846,749
ir:23396,750
ir:20741,751
ir:22657,752
ir:2586,753
ir:4304,754
ir:9171,755
ir:ir-batch6-247,756
ir:ir-batch6-1078,757
ir:25067,758
ir:ir-batch6-5596,759
ir:22634,760
ir:21109,761
ir:ir-batch6-2255,762
ir:ir-batch6-5116,763
ir:9233,764
ir:23265,765
ir:20949,766
ir:ir-batch6-3546,767
ir:10752,768
ir:906,769
ir:ir-batch6-4472,770
ir:ir-batch6-5178,771
ir:20674,772
ir:ir-batch6-4464,773
ir:ir-batch6-1699,774
ir:ir-batch6-3874,775
ir:24904,776
ir:11730,777
ir:21948,778
ir:ir-batch6-679,779
ir:23519,780
ir:25623,781
ir:ir-batch6-6134,782
ir:4168,783
ir:ir-batch6-2101,784
ir:ir-batch6-3468,785
ir:ir-batch6-5580,786
ir:14123,787
ir:21027,788
ir:22332,789
ir:ir-batch6-2605,790
ir:ir-batch6-5546,791
ir:266,792
ir:21870,793
ir:ir-batch6-2298,794
ir:24681,795
ir:ir-batch6-2720,796
ir:ir-batch6-413,797
ir:4533,798
ir:20672,799
ir:22274,800
ir:15776,801
ir:ir-batch6-1911,802
ir:ir-batch7-115,803
ir:ir-batch6-1689,804
ir:ir-batch6-937,805
ir:25444,806
ir:ir-batch6-1719,807
ir:20553,808
ir:ir-batch6-526,809
ir:14907,810
ir:24884,811
ir:ir-batch6-1881,812
ir:ir-batch6-4051,813
ir:25571,814
ir:22322,815
ir:ir-batch6-222,816
ir:2801,817
ir:12010,818
ir:25097,819
ir:25587,820
ir:ir-batch6-3445,821
ir:23366,822
ir:20777,823
ir:ir-batch6-578,824
ir:22478,825
ir:24252,826
ir:ir-batch6-3322,827
ir:22602,828
ir:ir-batch6-3448,829
ir:ir-batch6-1234,830
ir:23029,831
ir:ir-batch6-1176,832
ir:ir-batch6-4633,833
ir:ir-batch6-3570,834
ir:2691,835
ir:21487,836
ir:ir-batch6-4960,837
ir:13378,838
ir:ir-batch6-5430,839
ir:15552,840
ir:ir-batch6-2710,841
ir:9776,842
ir:22737,843
ir:20399,844
ir:25107,845
ir:ir-batch6-1989,846
ir:14287,847
ir:995,848
ir:21441,849
ir:ir-batch6-6021,850
ir:3454,851
ir:ir-batch6-5762,852
ir:780,853
ir:ir-batch6-1867,854
ir:23101,855
ir:21507,856
ir:24862,857
ir:ir-batch6-4883,858
ir:25258,859
ir:ir-batch6-5701,860
ir:5918,861
ir:ir-batch6-1543,862
ir:ir-batch6-506,863
ir:ir-batch10-115,864
ir:20510,865
ir:ir-batch6-1030,866
ir:ir-batch6-3436,867
ir:1300,868
ir:ir-batch6-6109,869
ir:21203,870
ir:7668,871
ir:21978,872
ir:23285,873
ir:ir-batch6-3264,874
ir:24957,875
ir:404,876
ir:ir-batch6-5904,877
ir:1818,878
ir:21648,879
ir:ir-batch6-3844,880
ir:20389,881
ir:7375,882
ir:1235,883
ir:ir-batch6-433,884
ir:ir-batch6-1523,885
ir:ir-batch6-4776,886
ir:ir-batch6-3435,887
ir:ir-batch6-1759,888
ir:13743,889
ir:21077,890
ir:ir-batch6-1754,891
ir:1464,892
ir:25119,893
ir:ir-batch6-4439,894
ir:5260,895
ir:21335,896
ir:ir-batch6-3563,897
ir:22781,898
ir:22239,899
ir:1745,900
ir:13928,901
ir:20445,902
ir:ir-batch6-430,903
ir:24954,904
ir:22595,905
ir:117,906
ir:21628,907
ir:2354,908
ir:ir-batch6-1602,909
ir:ir-batch6-1168,910
ir:24374,911
ir:25467,912
ir:5564,913
ir:20632,914
ir:ir-batch6-4685,915
ir:21499,916
ir:25099,917
ir:ir-batch6-1817,918
ir:24048,919
ir:13220,920
ir:ir-batch6-3480,921
ir:12879,922
ir:13581,923
ir:6586,924
ir:587,925
ir:25584,926
ir:23616,927
ir:ir-batch9-115,928
ir:9623,929
ir:2575,930
ir:736,931
ir:21273,932
ir:23027,933
ir:20332,934
ir:15875,935
ir:1758,936
ir:23537,937
ir:20641,938
ir:23554,939
ir:21328,940
ir:417,941
ir:21442,942
ir:ir-batch6-4424,943
ir:ir-batch6-5627,944
ir:ir-batch6-3573,945
ir:ir-batch6-4388,946
ir:ir-batch6-3063,947
ir:ir-batch6-3000,948
ir:ir-batch6-639,949
ir:ir-batch6-5392,950
ir:ir-batch12-103,951
ir:21162,952
ir:20922,953
ir:ir-batch6-1332,954
ir:20468,955
ir:ir-batch6-4998,956
ir:11786,957
ir:ir-batch6-2592,958
ir:ir-batch13-128,959
ir:960,960
ir:24649,961
ir:22709,962
ir:ir-batch6-2813,963
ir:2732,964
ir:4921,965
ir:ir-batch6-799,966
ir:21285,967
ir:ir-batch6-221,968
ir:20879,969
ir:26100,970
ir:ir-batch6-525,971
ir:1192,972
ir:25705,973
ir:16251,974
ir:5665,975
ir:20023,976
ir:9360,977
ir:20475,978
ir:1265,979
ir:ir-batch6-4610,980
ir:9245,981
ir:ir-batch6-3530,982
ir:ir-batch6-619,983
ir:ir-batch6-5160,984
ir:ir-batch6-4467,985
ir:ir-batch6-5954,986
ir:21618,987
ir:24327,988
ir:ir-batch6-4985,989
ir:22824,990
ir:ir-batch6-1769,991
ir:ir-batch6-3115,992
ir:21788,993
ir:ir-batch6-4815,994
ir:14647,995
ir:1350,996
ir:ir-batch6-3466,997
ir:ir-batch6-1859,998
ir:10301,999
ir:ir-batch6-1274,1000
ir:20244,1001
ir:ir-batch6-742,1002
ir:ir-batch6-4042,1003
