nid,pid
1862,ir:ir-batch6-5348
1864,ir:ir-batch6-4621
1876,ir:ir-batch12-171
1880,ir:ir-batch6-2761
1888,ir:ir-batch6-4972
1894,ir:ir-batch6-4642
1899,ir:64
1906,ir:ir-batch6-2851
1907,ir:ir-batch6-4911
1910,ir:ir-batch6-5441
1923,ir:ir-batch6-5383
1924,ir:ir-batch6-6096
1926,ir:ir-batch6-3011
1937,ir:ir-batch6-2578
1938,ir:ir-batch6-4490
1947,ir:ir-batch6-5693
1948,ir:ir-batch6-3880
1951,ir:ir-batch6-4438
1958,ir:ir-batch6-5151
1971,ir:ir-batch6-2006
1980,ir:ir-batch6-4684
1994,ir:ir-batch6-5197
2006,ir:ir-batch6-5655
2022,ir:ir-batch6-4394
2026,ir:ir-batch6-5636
2029,ir:ir-batch6-1660
2031,ir:ir-batch6-2575
2034,ir:ir-batch6-3825
2035,ir:116
2046,ir:ir-batch6-5965
2052,ir:ir-batch6-1933
2065,ir:ir-batch6-2065
2066,ir:69
2071,ir:ir-batch6-6033
2088,ir:912
2114,ir:ir-batch6-4408
2119,ir:ir-batch6-3089
2120,ir:ir-batch6-2861
2122,ir:ir-batch6-3531
2123,ir:54
2132,ir:ir-batch6-4989
2134,ir:ir-batch6-172
2135,ir:351
2141,ir:ir-batch12-122
2148,ir:ir-batch6-4118
2150,ir:493
2155,ir:ir-batch6-4921
2158,ir:458
2159,ir:ir-batch6-928
2169,ir:ir-batch6-2802
2170,ir:ir-batch6-5378
2177,ir:ir-batch6-980
2186,ir:332
2187,ir:ir-batch6-3042
2189,ir:ir-batch6-5668
2194,ir:ir-batch13-139
2197,ir:ir-batch6-4301
2204,ir:148
2217,ir:ir-batch6-5102
2221,ir:ir-batch6-6003
2227,ir:59
2234,ir:ir-batch6-2797
2237,ir:436
2250,ir:ir-batch6-1192
2251,ir:ir-batch6-3815
2258,ir:ir-batch6-5606
2261,ir:ir-batch6-3746
2264,ir:ir-batch7-107
2266,ir:ir-batch6-1903
2274,ir:ir-batch6-3084
2276,ir:ir-batch6-5665
2277,ir:687
2284,ir:ir-batch6-2526
2286,ir:ir-batch13-134
2288,ir:ir-batch6-3876
2295,ir:ir-batch6-366
2308,ir:455
2311,ir:ir-batch6-925
2312,ir:ir-batch6-2036
2321,ir:ir-batch6-5375
2326,ir:ir-batch6-3235
2343,ir:ir-batch6-1858
2344,ir:ir-batch6-5037
2350,ir:ir-batch6-4234
2358,ir:ir-batch6-534
2361,ir:844
2367,ir:ir-batch6-5527
2381,ir:ir-batch6-2937
2388,ir:ir-batch6-6193
2389,ir:264
2390,ir:ir-batch6-5286
2391,ir:ir-batch6-5544
2399,ir:ir-batch6-2607
2402,ir:26618
