pid,content_model,collection_pid,page_of,sequence,constituent_of
imagined:209182,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208843,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208943,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208310,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_035,islandora:pageCModel,imagined:208295,imagined:208295,41,
imagined:208979,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208738,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208800,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209181,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208616,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:209371,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208296-p_085,islandora:pageCModel,imagined:208296,imagined:208296,91,
imagined:209124,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209196,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209395,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208819,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208500,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_053,islandora:pageCModel,imagined:208295,imagined:208295,59,
imagined:208661,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208806,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208569,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208938,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208296-p_032,islandora:pageCModel,imagined:208296,imagined:208296,38,
imagined:208639,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208296-f_005,islandora:pageCModel,imagined:208296,imagined:208296,6,
imagined:208295-p_051,islandora:pageCModel,imagined:208295,imagined:208295,57,
imagined:208482,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209207,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209396,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208296-p_028,islandora:pageCModel,imagined:208296,imagined:208296,34,
imagined:208296-p_086,islandora:pageCModel,imagined:208296,imagined:208296,92,
imagined:208880,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:24,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208851,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_047,islandora:pageCModel,imagined:208296,imagined:208296,53,
imagined:209312,islandora:sp_basic_image,imagined:site-content,,,
imagined:208901,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_065,islandora:pageCModel,imagined:208295,imagined:208295,71,
imagined:208937,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209227,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_025,islandora:pageCModel,imagined:208296,imagined:208296,31,
imagined:208573,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209388,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209190,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208625,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:209172,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209100,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208473,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208725,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208976,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208888,islandora:sp_basic_image,,,,
imagined:208881,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208619,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:209231,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-f_003,islandora:pageCModel,imagined:208295,imagined:208295,4,
imagined:208656,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208759,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208968,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208518,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209387,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208296-p_043,islandora:pageCModel,imagined:208296,imagined:208296,49,
imagined:208349,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_012,islandora:pageCModel,imagined:208295,imagined:208295,18,
imagined:208295-p_091,islandora:pageCModel,imagined:208295,imagined:208295,97,
imagined:208917,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209403,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208941,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208710,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209235,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208632,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208713,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208296-z_010,islandora:pageCModel,imagined:208296,imagined:208296,111,
imagined:209271,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208384,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208308,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209029,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208664,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208827,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208871,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209088,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208346,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208345,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209144,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209043,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208773,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208296-p_036,islandora:pageCModel,imagined:208296,imagined:208296,42,
imagined:209221,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209164,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_037,islandora:pageCModel,imagined:208296,imagined:208296,43,
imagined:209059,islandora:sp_basic_image,,,,
imagined:208296-p_006,islandora:pageCModel,imagined:208296,imagined:208296,12,
imagined:208998,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_049,islandora:pageCModel,imagined:208296,imagined:208296,55,
imagined:208380,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208660,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208836,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209104,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_092,islandora:pageCModel,imagined:208295,imagined:208295,98,
imagined:208313,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208403,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209276,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_009,islandora:pageCModel,imagined:208296,imagined:208296,15,
imagined:208866,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_042,islandora:pageCModel,imagined:208296,imagined:208296,48,
imagined:208987,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:23,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208638,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208296-p_065,islandora:pageCModel,imagined:208296,imagined:208296,71,
imagined:209246,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208305,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209099,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-f_001,islandora:pageCModel,imagined:208296,imagined:208296,2,
imagined:209360,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208339,islandora:sp_large_image_cmodel,imagined:collection,,,
